x,y,L_track,R_track
7.5625,0,1.5,1.5
7.5625,1,1.5,1.5
7.5625,2,1.5,1.5
7.5625,3,1.5,1.5
7.5625,4,1.5,1.5
7.5625,5,1.5,1.5
7.5625,6,1.5,1.5
7.5625,7,1.5,1.5
7.5625,8,1.5,1.5
7.5625,9,1.5,1.5
7.5625,10,1.5,1.5
7.5625,11,1.5,1.5
7.5625,12,1.5,1.5
7.5625,13,1.5,1.5
7.5625,14,1.5,1.5
7.5625,15,1.5,1.5
7.5625,16,1.5,1.5
7.5625,17,1.5,1.5
7.5625,18,1.5,1.5
7.5625,19,1.5,1.5
7.5625,20,1.5,1.5
7.5625,21,1.5,1.5
7.5625,22,1.5,1.5
7.5625,23,1.5,1.5
7.5625,24,1.5,1.5
7.5625,25,1.5,1.5
7.5625,26,1.5,1.5
7.5625,27,1.5,1.5
7.5625,28,1.5,1.5
7.5625,29,1.5,1.5
7.5625,30,1.5,1.5
7.5625,31,1.5,1.5
7.5625,32,1.5,1.5
7.5625,33,1.5,1.5
7.5625,34,1.5,1.5
7.5625,35,1.5,1.5
7.5625,36,1.5,1.5
7.5625,37,1.5,1.5
7.5625,38,1.5,1.5
7.5625,39,1.5,1.5
7.5625,40,1.5,1.5
7.5625,41,1.5,1.5
7.5625,42,1.5,1.5
7.5625,43,1.5,1.5
7.5625,44,1.5,1.5
7.5625,45,1.5,1.5
7.5625,46,1.5,1.5
7.5625,47,1.5,1.5
7.5625,48,1.5,1.5
7.5625,49,1.5,1.5
7.5625,50,1.5,1.5
7.551781636,50.4024927,1.5,1.5
7.519656927,50.80384449,1.5,1.5
7.466216933,51.20291769,1.5,1.5
7.391613135,51.59858109,1.5,1.5
7.296057008,51.98971314,1.5,1.5
7.179819414,52.37520513,1.5,1.5
7.043229842,52.75396435,1.5,1.5
6.88667547,53.12491715,1.5,1.5
6.710600068,53.48701204,1.5,1.5
6.515502741,53.83922262,1.5,1.5
6.301936513,54.18055049,1.5,1.5
6.070506762,54.51002815,1.5,1.5
5.8218695,54.82672164,1.5,1.5
5.556729516,55.12973326,1.5,1.5
5.275838379,55.4182041,1.5,1.5
4.979992304,55.69131645,1.5,1.5
4.670029901,55.94829614,1.5,1.5
4.34682979,56.18841474,1.5,1.5
4.011308118,56.41099161,1.5,1.5
3.664415957,56.61539583,1.5,1.5
3.307136611,56.80104798,1.5,1.5
2.940482827,56.96742183,1.5,1.5
2.565493925,57.11404577,1.5,1.5
2.183232852,57.24050417,1.5,1.5
1.794783168,57.34643857,1.5,1.5
1.401245976,57.43154869,1.5,1.5
1.0037368,57.49559328,1.5,1.5
0.603382423,57.5383908,1.5,1.5
0.201317693,57.55981993,1.5,1.5
-0.201317693,57.55981993,1.5,1.5
-0.603382423,57.5383908,1.5,1.5
-1.0037368,57.49559328,1.5,1.5
-1.401245976,57.43154869,1.5,1.5
-1.794783168,57.34643857,1.5,1.5
-2.183232852,57.24050417,1.5,1.5
-2.565493925,57.11404577,1.5,1.5
-2.940482827,56.96742183,1.5,1.5
-3.307136611,56.80104798,1.5,1.5
-3.664415957,56.61539583,1.5,1.5
-4.011308118,56.41099161,1.5,1.5
-4.34682979,56.18841474,1.5,1.5
-4.670029901,55.94829614,1.5,1.5
-4.979992304,55.69131645,1.5,1.5
-5.275838379,55.4182041,1.5,1.5
-5.556729516,55.12973326,1.5,1.5
-5.8218695,54.82672164,1.5,1.5
-6.070506762,54.51002815,1.5,1.5
-6.301936513,54.18055049,1.5,1.5
-6.515502741,53.83922262,1.5,1.5
-6.710600068,53.48701204,1.5,1.5
-6.88667547,53.12491715,1.5,1.5
-7.043229842,52.75396435,1.5,1.5
-7.179819414,52.37520513,1.5,1.5
-7.296057008,51.98971314,1.5,1.5
-7.391613135,51.59858109,1.5,1.5
-7.466216933,51.20291769,1.5,1.5
-7.519656927,50.80384449,1.5,1.5
-7.551781636,50.4024927,1.5,1.5
-7.5625,50,1.5,1.5
-7.5625,49,1.5,1.5
-7.5625,48,1.5,1.5
-7.5625,47,1.5,1.5
-7.5625,46,1.5,1.5
-7.5625,45,1.5,1.5
-7.5625,44,1.5,1.5
-7.5625,43,1.5,1.5
-7.5625,42,1.5,1.5
-7.5625,41,1.5,1.5
-7.5625,40,1.5,1.5
-7.5625,39,1.5,1.5
-7.5625,38,1.5,1.5
-7.5625,37,1.5,1.5
-7.5625,36,1.5,1.5
-7.5625,35,1.5,1.5
-7.5625,34,1.5,1.5
-7.5625,33,1.5,1.5
-7.5625,32,1.5,1.5
-7.5625,31,1.5,1.5
-7.5625,30,1.5,1.5
-7.5625,29,1.5,1.5
-7.5625,28,1.5,1.5
-7.5625,27,1.5,1.5
-7.5625,26,1.5,1.5
-7.5625,25,1.5,1.5
-7.5625,24,1.5,1.5
-7.5625,23,1.5,1.5
-7.5625,22,1.5,1.5
-7.5625,21,1.5,1.5
-7.5625,20,1.5,1.5
-7.5625,19,1.5,1.5
-7.5625,18,1.5,1.5
-7.5625,17,1.5,1.5
-7.5625,16,1.5,1.5
-7.5625,15,1.5,1.5
-7.5625,14,1.5,1.5
-7.5625,13,1.5,1.5
-7.5625,12,1.5,1.5
-7.5625,11,1.5,1.5
-7.5625,10,1.5,1.5
-7.5625,9,1.5,1.5
-7.5625,8,1.5,1.5
-7.5625,7,1.5,1.5
-7.5625,6,1.5,1.5
-7.5625,5,1.5,1.5
-7.5625,4,1.5,1.5
-7.5625,3,1.5,1.5
-7.5625,2,1.5,1.5
-7.5625,1,1.5,1.5
-7.5625,0,1.5,1.5
